Branch Name,BRANCH CODE
Surat Apex,A04
Delhi Samalkha Apex,N05
Chennai Apex,C20
Bangalore Nelamangala Apex,B36
Ahmedabad Apex,A01
Attibele Apex,B113
Coimbatore Apex,E01
Salem Apex,E04
Bangalore Yelahanka Apex,B10
Mumbai Sakinaka Apex,M10
Coimbatore Scs Apex,E13
Pune Apex,P01
Hyderabad Shamshabad Apex,H13
Hyderabad Scs Apex,H66
Indore Apex,I01
Indore Scs Apex,I24
Ambala Apex,J10
Matigara Apex,K66
Cochin Integrated Apex,O06
Kolkata Pakuria Apex,K95
Bilaspur Apex,L24
Mumbai Vadpe Hub,M33
Jaipur Apex,Q05
Kolkata Rajarhat Apex,K16
Nagpur Apex,R01
Raipur Apex,R06
Patna Apex,T01
Ranchi Apex,T02
Ghaziabad Apex,U11
Lucknow Apex,U43
Vijayawada Apex+Scs,V06
Bhubaneshwar Apex,W10
Dharapur Apex,X01
